Brand,Variety,Harga,Toko,Metode_Temuan
Indomie,Mi Instan Rasa Rawon Pedas Mercon,Rp 3.100,Alfagift,Spesifik (Satuan)
Samyang Foods,Green Mala Buldak HOT Chicken Flavor Ramen,Rp 27.600,shopee.co.id,Spesifik (Satuan)
Mi Sedaap,Mi Goreng Spicy’licious,Rp 4.600,Shopee,
ABC,Selera Pedas Mi Goreng Cup Pedas Nampol,Rp 3.550,Shopee,Spesifik (Satuan)
Migelas,Rasa Sop Buntut ,Rp 1.500,Shopee,Spesifik (Satuan)
Mi Sedaap,Style Of Singapore Spicy Laksa,Rp 3.300,Sayurbox,Spesifik (Satuan)
Migelas,Protevit Rasa Kari Ayam,Rp 1.500,tokopedia.com,Spesifik (Satuan)
Indomie,Mi Instan Rasa Cakalang,Rp 5.100,tokopedia.com,Spesifik (Satuan)
Ginding,Cuanki Express,Rp 15.900,Shopee,Spesifik (Satuan)
Migelas,Protevit Rasa Ayam Bawang,Rp 1.300,Shopee,Spesifik (Satuan)
Mi ABC,Rasa Ayam Bawang,Rp 2.700,Tokopedia,Spesifik (Satuan)
Mi Sedaap,Instant Mi Goreng Ayam Bakar Limau,Rp 3.800,Lazada Indonesia,Spesifik (Satuan)
Indomie,Rasa Empal Gentong,Rp 4.950,Blibli,Spesifik (Satuan)
ABC,Selera Pedas Hot Chicken Lime Flavour,Rp 5.000,Tokopedia,Spesifik (Satuan)
Migelas,Protevit Rasa Baso Sapi,Rp 1.300,Shopee,Spesifik (Satuan)
Mie Sedaap,Instant Mie Goreng Salero Padang,Rp 3.447,tokopedia.com,Spesifik (Satuan)
Mie Sedaap,Soto Madura,Rp 4.500,tokopedia.com,Spesifik (Satuan)
Indomie,Mi Instan Rasa Mi Kocok Bandung,Rp 3.450,shopee.co.id,Spesifik (Satuan)
Meet Mee,Meet Mee Chili Pan Mee (Dry) (Fish Cake),Rp 17.000,shopee.co.id,Spesifik (Satuan)
Indomie,Mi Instan Rasa Soto Banjar Limau Kuit,Rp 4.520,tokopedia.com,Spesifik (Satuan)
Mie Sedaap,Kari Spsial Bumbu Kari Kental,Rp 3.400,Sayurbox,Spesifik (Satuan)
Indomie,Mi Instan Rasa Soto Medan,Rp 4.332,tokopedia.com,Spesifik (Satuan)
ABC,Selera Pedas Hot Gulai Chicken Flavour,Rp 3.075,tokopedia.com,Spesifik (Satuan)
Ginding,Batagor Kuah Express,Rp 15.900,Shopee,Spesifik (Satuan)
Migelas,Protevit Rasa Soto Ayam,Rp 1.500,tokopedia.com,Spesifik (Satuan)
Mie Sedaap,Mi Kuah Instan Rasa White Curry,Rp 3.270,tokopedia.com,Spesifik (Satuan)
Indomie,Mi Instan Rasa Coto Makassar,Rp 4.200,Tokopedia,Spesifik (Satuan)
Indomie,Hype Abis Mi Goreng Kebab Rendang,Rp 5.000,shopee.co.id,Spesifik (Satuan)
Indomie,Mi Goreng Rasa Sambal Rica-Rica,Rp 8.000,tokopedia.com,Spesifik (Satuan)
Indomie,Rasa Soto Lamongan,Rp 3.100,Borma Dago,Spesifik (Satuan)
Mie Sedaap,Instant Cup Mi Goreng,Rp 5.300,eBelanja.id,Spesifik (Satuan)
Indomie,Mi Goreng Rasa Cakalang,Rp 3.900,Tokopedia,Spesifik (Satuan)
