barcode_id,brand,product_name,energy_kcal,sodium_mg,has_msg,country
5285000396437,null,,467.0,1600.0,0,"Morocco, en:tunisia"
0089686120073,Indomie,indoumi goût poulet,453.0,1840.0,0,"Morocco,Tunisia,Qatar"
8852018101024,Yum Yum,YumYum Chicken,62.9,252.0,1,"Tschechien,Dänemark,Frankreich,Deutschland,Niederlande"
5285000397465,beldi,Indomie,443.0,0.0,0,"Morocco, en:tunisia"
8801043150620,NONGSHIM,"Shin Ramyun Instant Noodles, Hot & Spicy",422.0,1520.0,1,"Croatia,France,Germany,South Korea,Switzerland,United Kingdom,Lithuania"
8852018101055,"YumYum, Yum Yum",Shrimp Flavour,78.0,336.0,1,"Finland,France,Germany"
5285000396819,Indomie,Poulet citron,447.0,730.0,1,"Morocco,Tunisia"
5000354405099,Batchelors,SUPER NOODLES Chicken flavour,146.0,187.0,1,United Kingdom
8852018101017,"Yum Yum, YumYum",YumYum Beef,79.0,384.0,1,"Belgique,Danemark,France,Allemagne,Thaïlande"
6111269970417,Noody,Ramen,440.0,1200.0,0,ma
8801073113893,Samyang,Carbonara Buldak Spicy Ramen,423.0,1020.0,0,"Finland,France,Germany,Morocco,Norway,Thailand"
3229820181363,Tanoshi,Ramen soja caramel,163.0,600.0,0,France
8901058000290,Nestle,maggi,384.0,1030.0,0,India
5997523313111,NISSIN,Soba classic,206.0,760.0,1,"Belgien,Frankreich,Deutschland,Schweiz"
8801073110502,"Buldak,Samyang",Buldak Original,379.0,1164.0,1,"Bolivia,Croatia,France,Germany,Morocco,Netherlands,South Korea,United Kingdom,United States"
8852018101062,Yum Yum,Vegetable Flavour,0.0,840.0,1,"Frankreich,Deutschland"
8712429350100,Nissin,Demae Ramen - Chicken,0.0,0.0,1,"Frankreich,Deutschland,Schweden,Schweiz,Vereinigtes Königreich"
8801073113428,"Buldak,Samyang",Spicy Ramen,393.0,971.0,0,"Croatia,Denmark,Finland,France,Germany,Morocco,Netherlands"
3229820762043,Tanoshi,Nouilles poulet teriyaki,84.0,296.0,0,France
8722700027775,"Knorr, Unilever","Soupe Thai  (Nouilles, champignons et pousses de soja)  د تای سوپ",377.0,3240.0,0,France
0089686120714,Indomie,Fried Noodles,475.0,1300.0,1,"France, Indonesia, en:morocco"
00322768,Sainsbury's,Medium egg Noodles,0.0,0.0,0,United Kingdom
8801073113312,Buldak,Buldak Artificial Spicy Chicken Flavor,407.0,971.0,0,"France,Germany,Malaysia,Morocco,Norway,Singapore"
00322775,Sainsbury's,Wholewheat medium Noodles,158.0,20.0,0,United Kingdom
5000118203503,Pot Noodle,Chicken & Mushroom Flavour Pot Noodle,457.0,830.0,1,"France,Ireland,United Kingdom,en:australia"
3229820765365,Tanoshi,Ramen saveur boeuf,160.0,760.0,0,France
8852018101031,Yum Yum,Instant Noodles Duck Flavour,75.0,388.0,1,"Kamerun,Frankreich,Deutschland"
8851876201549,Mama,Mama Instant Rice Noodles,353.0,68.0,0,"Finland,France,United Kingdom"
8410300349952,Gallina Blanca,Yatekomo Pollo,92.6,330.0,1,"Francia,España"
5060262485286,Itsu,Rice noodles Satay flavour,0.0,0.0,0,United Kingdom
3229820765372,Tanoshi,Nouilles japonaises saveur boeuf teppanyaki,80.0,340.0,0,France
5060262489741,Itsu,Rice noodles chick-n ramen,69.0,263.0,0,United Kingdom
5000118203664,KING,POT noodle Chicken & Mushroom flavour,136.0,235.0,1,"France, United Kingdom"
5060262485309,itsu,Rice noodles chilli miso,71.9,328.0,0,United Kingdom
